1,"NYU Medical Center",\N,\N,\N,\N,\N,\N,"2020-10-19 16:14:02"
2,"Rochester General Hospital",\N,\N,\N,\N,\N,\N,"2020-10-19 16:14:02"
5,"Jasmine Smith Hospital","WA","West Mark","41726 Emily Neck",16072,865036787928238,"umalone@hotmail.com","2020-11-20 19:40:16"
6,"Anthony Bennett Hospital","MI","Matthewsside","02124 Jeffery Springs",45904,12107292507,"rachel82@hotmail.com","2020-11-20 19:40:16"
7,"Jacqueline Jones Hospital","NH","West Ryanburgh","893 Aguilar Fort Suite 447",22205,1266460536622831,"strongbrian@gmail.com","2020-11-20 19:40:16"
8,"Lisa Thompson Hospital","DC","New Lisafort","766 West Vista",4915,11053626991,"moodyjessica@gmail.com","2020-11-20 19:40:16"
9,"Michael Coleman Hospital","NE","Gwendolynside","693 Baker Shores Apt. 407",19913,399664881469938,"gregorycurry@yahoo.com","2020-11-20 19:40:16"
10,"Gary Davis Hospital","CA","Robertbury","1380 Cody Prairie Apt. 056",42247,1840238775738973,"jeff88@hotmail.com","2020-11-20 19:40:16"
11,"Lisa Curry Hospital","NJ","Lake Charles","893 Henson Ways",28680,4274504304,"matthew91@gmail.com","2020-11-20 19:40:16"
12,"Suzanne Olsen Hospital","UT","Josephton","561 George Unions",72378,5765742741,"rossjason@hotmail.com","2020-11-20 19:40:16"
13,"Stephen Huynh Hospital","IA","Lawrencebury","4141 Stevens Path Suite 915",93914,3367914767,"juan08@gmail.com","2020-11-20 19:40:16"
14,"Rebecca Lamb Hospital","VT","East Kaitlyn","271 Ann Gateway",43138,17304023139,"kimberly03@yahoo.com","2020-11-20 19:40:16"
15,"Beth Smith Hospital","WI","West Tim","026 Amanda Fords",89496,2942999626,"shannonsalas@yahoo.com","2020-11-20 19:40:16"
16,"Brenda Reyes Hospital","ME","Lake Lori","19596 Black Square",13706,7749403996,"qsmith@hotmail.com","2020-11-20 19:40:16"
17,"Jonathan Murphy Hospital","SC","Nelsonfurt","01668 Jason Ridges Suite 648",32376,817857690679,"lawrencegray@yahoo.com","2020-11-20 19:40:16"
18,"Charles Herring Hospital","MN","South Joseph","749 Murphy Spring Suite 369",35183,5448568198,"paige70@hotmail.com","2020-11-20 19:40:16"
19,"Anthony Martinez Hospital","MN","North Deborahborough","2955 Bentley Green",87313,8616715882437,"nelsonlaura@yahoo.com","2020-11-20 19:40:16"
20,"Diane Fisher Hospital","ID","Port Jackfurt","49145 Gutierrez Crossing Suite 646",45515,9343738938380,"ubender@yahoo.com","2020-11-20 19:40:16"
21,"Kyle Bennett Hospital","RI","East Josephshire","210 Robbins Pine Apt. 491",35414,93471005836961,"rodriguezkathryn@hotmail.com","2020-11-20 19:40:16"
22,"David Smith Hospital","NJ","East Brandi","78696 Branch Mission Suite 615",11995,890931877123843,"bonnieherrera@gmail.com","2020-11-20 19:40:17"
